Ppt.,Sample,CuedBiasType,Dscore_Cued_Baseline,Cued_Prenap,Cued_Postnap,Cued_Delayed,Uncued_Baseline,Uncued_Prenap,Uncued_Postnap,Uncued_Delayed,Cued_Pre_PostNap,Uncued_Pre_PostNap,CueNapAdvantage,Cued_Prenap_Delay,Uncued_Prenap-Delay,CuePrenapDelayAdvantage,Cued_BaseDelayChange,Uncued_BaseDelayChange,Cue_BaseDelayAdvan,SWS x REM (in min),NumberofSoundCues
1,1,Gender,0.753283458,0.54906205,0.114489934,0.410106511,0.198269657,-0.139773663,-0.203699511,0.549367673,0.434572116,0.063925847,0.370646269,0.138955539,-0.689141337,0.828096876,0.343176947,-0.351098016,0.694274963,266,175
2,1,Race,0.319826571,0.257445139,-0.284235154,NA,0.216009731,0.439703711,0.204270746,NA,0.541680292,0.235432966,0.306247327,NA,NA,NA,NA,NA,NA,165,47
3,1,Race,0.262863986,0.499253313,0.48456812,0.391703575,1.250126361,0.240837051,0.919710842,0.823530139,0.014685193,-0.678873792,0.693558984,0.107549737,-0.582693088,0.690242826,-0.128839589,0.426596222,-0.555435811,0,133
4,1,Gender,0.305100665,0.035311517,0.042290092,0.609369806,0.715576098,0.351758887,1.196569631,0.548424452,-0.006978575,-0.844810744,0.837832169,-0.57405829,-0.196665564,-0.377392725,-0.304269141,0.167151647,-0.471420788,0,17
5,1,Race,0.147679392,-0.584941558,0.928768944,-0.223959607,0.321304921,0.239898715,1.38722527,0.854419508,-1.513710502,-1.147326556,-0.366383946,-0.360981951,-0.614520793,0.253538842,0.371639,-0.533114587,0.904753586,412.5,518
6,1,Race,0.498559194,0.69552207,0.303694632,NA,0.495950351,0.421440258,0.303694632,NA,0.391827438,0.117745626,0.274081812,NA,NA,NA,NA,NA,NA,185.25,260
7,1,Gender,0.405225519,0.092053674,0.174863673,0.634992427,-0.137436406,0.220414362,0.399755243,0.386659465,-0.082809999,-0.179340881,0.096530882,-0.542938753,-0.166245103,-0.37669365,-0.229766908,-0.524095871,0.294328962,346.5,557
8,1,Race,0.830347459,0.620407983,0.27796665,0.549113394,0.493019277,-0.313990722,0.524352395,0.906585921,0.342441333,-0.838343117,1.18078445,0.07129459,-1.220576643,1.291871233,0.281234065,-0.413566644,0.694800708,210,502
9,1,Gender,0.684142622,-0.497925812,-1.245853011,-0.426976819,-0.269220259,0.732309021,0.519928401,0.921482992,0.747927199,0.21238062,0.535546579,-0.070948993,-0.189173971,0.118224978,1.111119441,-1.190703251,2.301822692,291.5,406
10,1,Gender,0.724050767,0.78747102,0.580200934,0.836044031,1.271920606,1.122881306,0.186732991,0.949833258,0.207270086,0.936148315,-0.728878229,-0.048573011,0.173048048,-0.221621059,-0.111993264,0.322087348,-0.434080612,0,91
11,1,Race,1.02644537,0.199596142,-0.203995204,-0.116751995,0.515486512,-0.021101357,0.15427101,-0.049563717,0.403591346,-0.175372367,0.578963714,0.316348137,0.02846236,0.287885777,1.143197366,0.565050229,0.578147137,67.5,108
12,1,Race,0.559649115,0.624371115,0.650522395,0.764907732,0.507874619,0.765020828,0.057578927,0.606326697,-0.026151279,0.7074419,-0.73359318,-0.140536617,0.158694131,-0.299230747,-0.205258617,-0.098452078,-0.106806539,0,336
13,1,Gender,0.560493979,0.804555505,0.407832036,0.423756143,1.256338812,0.58222555,0.73615168,0.640291943,0.396723469,-0.15392613,0.550649599,0.380799362,-0.058066393,0.438865755,0.136737836,0.616046869,-0.479309033,0,234
14,1,Race,0.704057436,0.73893685,0.925071799,0.526423609,0.646051404,0.350014051,0.401955187,0.273884866,-0.186134949,-0.051941136,-0.134193813,0.212513241,0.076129185,0.136384056,0.177633828,0.372166538,-0.19453271,192.5,339
15,1,Gender,0.838003537,0.734187202,0.199829984,0.155009732,0.850978994,0.540301461,0.77897774,0.806487916,0.534357219,-0.238676279,0.773033498,0.579177471,-0.266186455,0.845363926,0.682993805,0.044491078,0.638502727,0,177
16,1,Gender,0.936200527,0.4795434,-0.453401478,0.356158077,1.164691293,0.936329638,0.278694642,1.682461591,0.932944878,0.657634997,0.275309881,0.123385323,-0.746131952,0.869517275,0.58004245,-0.517770297,1.097812748,0,249
17,1,Race,0.154668692,0.276829652,0.529838691,0.604297769,-0.121767949,-0.367566212,-0.224557994,0.015760118,-0.253009039,-0.143008218,-0.110000821,-0.327468118,-0.383326329,0.055858212,-0.449629077,-0.137528066,-0.312101011,0,223
18,1,Gender,-0.352533261,0.662843302,-0.170809694,-0.289985191,0.774883967,0.533239845,0.136408461,0.915195977,0.833652996,0.396831384,0.436821612,0.952828494,-0.381956132,1.334784626,-0.06254807,-0.14031201,0.07776394,0,39
19,1,Race,0.678303211,0.386143325,0.142921199,0.576256354,0.453877994,0.058134422,0.333083457,0.754683142,0.243222125,-0.274949035,0.51817116,-0.190113029,-0.696548719,0.50643569,0.102046857,-0.300805147,0.402852005,0,316
20,1,Gender,0.093357324,0.149128683,0.049707131,0.083119181,-0.017979715,-0.355692907,0.246058223,0.262609428,0.099421552,-0.60175113,0.701172682,0.066009503,-0.618302335,0.684311837,0.010238143,-0.280589143,0.290827286,76,89
21,1,Gender,0.95556926,0.450438777,-0.358251392,0.842746422,0.710209379,0.230514519,-0.59678545,0.492540764,0.808690169,0.827299969,-0.0186098,-0.392307645,-0.262026245,-0.1302814,0.112822838,0.217668615,-0.104845777,351.75,458
22,2,Gender,0.861217914,1.210244392,0.956529816,0.759894066,0.446683009,0.95410236,0.611808015,0.531877233,0.253714577,0.342294345,-0.088579768,0.450350326,0.422225126,0.0281252,0.101323848,-0.085194224,0.186518072,378,230
23,2,Gender,1.039055892,1.776328649,-0.225521777,0.816920157,-0.394703063,0.917405087,1.040555511,-0.01680724,2.001850427,-0.123150425,2.125000851,0.959408492,0.934212327,0.025196165,0.222135735,-0.377895823,0.600031558,160,225
24,2,Race,1.070947369,0.461149213,0.442972088,0.687655935,0.102985841,-0.009923859,0.296536523,0.024966074,0.018177125,-0.306460382,0.324637507,-0.226506721,-0.034889933,-0.191616788,0.383291434,0.078019767,0.305271667,51,208
25,2,Race,0.855544554,0.978530011,0.703890726,0.8048264,1.266437122,0.187659647,1.033299291,-0.01284832,0.274639285,-0.845639644,1.12027893,0.173703611,0.200507967,-0.026804356,0.050718153,1.279285442,-1.228567288,66.25,179
26,2,Gender,0.553424389,0.334889444,0.350155507,1.145981074,0.363805362,0.509448674,0.605747005,0.902260744,-0.015266063,-0.096298331,0.081032267,-0.81109163,-0.39281207,-0.41827956,-0.592556685,-0.538455382,-0.054101302,0,399
27,2,Race,1.080130027,0.990923957,0.199892668,0.778029497,0.546546916,0.157956149,0.309299254,-0.678775563,0.791031289,-0.151343105,0.942374394,0.212894461,0.836731712,-0.623837251,0.30210053,1.225322479,-0.923221949,249,22
28,2,Gender,0.027328011,-0.013348756,0.245144547,0.328520968,0.612935848,-0.036606917,0.825568066,0.02415216,-0.258493303,-0.862174983,0.60368168,-0.341869724,-0.060759077,-0.281110647,-0.301192957,0.588783688,-0.889976645,132,253
29,2,Race,0.674790981,0.780479998,0.264021914,0.485111432,0.378671644,0.024379429,0.112469736,0.251505947,0.516458084,-0.088090307,0.604548391,0.295368566,-0.227126518,0.522495084,0.189679549,0.127165697,0.062513852,197.5,261
30,2,Gender,0.864826017,-0.202519546,-0.026204744,0.522907612,-0.058159903,-0.18359427,0.717686546,1.378848016,-0.176314802,-0.901280816,0.724966014,-0.725427158,-1.562442286,0.837015128,0.341918405,-1.437007918,1.778926323,427.5,344
31,2,Gender,1.068775192,-0.057764821,0.540563417,0.655778481,0.523505043,0.200168493,0.225984511,0.760901778,-0.598328238,-0.025816017,-0.572512221,-0.713543302,-0.560733285,-0.152810017,0.412996711,-0.237396735,0.650393446,204.75,369
32,2,Race,0.345349787,0.292229126,0.100964749,-0.019724641,0.632130817,-0.331700709,-0.253698238,0.116719459,0.191264377,-0.07800247,0.269266847,0.311953767,-0.448420167,0.760373935,0.365074428,0.515411358,-0.15033693,0,322
33,2,Race,0.267299182,-0.270282178,-0.223915819,0.073844701,0.943107329,0.285940226,0.383715202,0.821270435,-0.046366359,-0.097774975,0.051408616,-0.34412688,-0.535330209,0.19120333,0.19345448,0.121836894,0.071617587,195,145
34,2,Gender,0.261957767,-0.124808248,-0.480597498,0.219277169,0.35353893,0.124459907,-0.205372197,0.216966776,0.35578925,0.329832105,0.025957146,-0.344085416,-0.092506869,-0.251578548,0.042680599,0.136572154,-0.093891555,0,255
35,2,Race,0.250843836,-0.247920118,0.013892553,-0.004057699,1.224697147,0.21975991,0.507348066,0.105862757,-0.261812672,-0.287588156,0.025775484,-0.24386242,0.113897153,-0.357759573,0.254901535,1.118834389,-0.863932854,0,201
36,2,Gender,-0.014332961,0.697933243,0.143486228,0.143250174,0.897974041,0.505016219,0.690466066,0.519390364,0.554447015,-0.185449848,0.739896863,0.554683069,-0.014374145,0.569057214,-0.157583135,0.378583677,-0.536166812,0,577
37,2,Race,0.950765146,0.885914318,0.985872762,1.024960452,1.270885546,-0.394162456,0.062353984,0.514492439,-0.099958445,-0.45651644,0.356557995,-0.139046134,-0.908654895,0.76960876,-0.074195306,0.756393108,-0.830588414,46.75,84
38,2,Gender,0.405135248,0.194553741,-0.370961363,0.379169675,0.563084148,0.735976379,0.721020334,0.833505252,0.565515103,0.014956046,0.550559058,-0.184615934,-0.097528873,-0.087087061,0.025965573,-0.270421104,0.296386678,346.75,225
39,2,Gender,0.563461647,0.187232351,0.142124334,0.986620899,0.458052779,-0.33290937,-0.593644784,-0.035024628,0.045108017,0.260735414,-0.215627397,-0.799388548,-0.297884742,-0.501503806,-0.423159253,0.493077407,-0.91623666,0,494
40,2,Race,0.929506477,0.302214977,0.227510497,0.815527856,0.133879652,0.528949705,0.071811956,0.367326213,0.074704479,0.457137749,-0.382433269,-0.513312879,0.161623492,-0.674936371,0.113978621,-0.233446561,0.347425182,569.5,261
